County,Year,Population,Household Income,Area (sq mi),Density,Vehicles,Classification
Orange,2021,3182923.0,100485.0,789.4,4032.0787940207756,4920,Urban
Orange,2022,3175227.0,109361.0,789.4,4022.3296174309603,5960,Urban
Placer,2020,391799.0,93677.0,1404.37,278.98559496429004,1090,Rural
Placer,2021,400330.0,99734.0,1404.37,285.0602049317488,1285,Rural
Placer,2022,406608.0,109375.0,1404.37,289.5305368243412,1590,Rural
Plumas,2020,18844.0,57233.0,2553.69,7.379125892336188,40,Rural
Plumas,2021,19631.0,57885.0,2553.69,7.687307386566106,65,Rural
Plumas,2022,19650.0,67885.0,2553.69,7.694747600530996,85,Rural
Riverside,2020,2437864.0,70732.0,7207.37,338.2459898687039,2875,Rural
Riverside,2021,2409331.0,76066.0,7207.37,334.2871255395519,3520,Rural
Riverside,2022,2429487.0,84505.0,7207.37,337.0837073717598,4745,Rural
Sacramento,2020,1537948.0,70684.0,965.65,1592.6557241236474,2755,Urban
Sacramento,2021,1571767.0,76422.0,965.65,1627.677730026407,3180,Urban
Sacramento,2022,1579211.0,84010.0,965.65,1635.3865272096516,3925,Urban
San Benito,2020,61547.0,85808.0,1389.06,44.30838120743525,130,Rural
San Benito,2021,63329.0,95606.0,1389.06,45.591263156379135,135,Rural
San Benito,2022,64753.0,104451.0,1389.06,46.61641685744316,185,Rural
San Bernardino,2020,2162532.0,65761.0,20052.5,107.8435107841915,2630,Rural
San Bernardino,2021,2171071.0,70287.0,20052.5,108.26934297469144,3260,Rural
San Bernardino,2022,2180563.0,77423.0,20052.5,108.74270041142002,4270,Rural
San Diego,2020,3323970.0,82426.0,4199.89,791.4421568183928,5860,Rural
San Diego,2021,3296317.0,88240.0,4199.89,784.8579367554864,6620,Rural
San Diego,2022,3289701.0,96974.0,4199.89,783.2826574029319,8120,Rural
San Francisco,2020,874784.0,119136.0,46.69,18736.003426858002,2130,Urban
San Francisco,2021,865933.0,126187.0,46.69,18546.4339258942,2290,Urban
San Francisco,2022,851036.0,136689.0,46.69,18227.37202827158,2730,Urban
San Joaquin,2020,751615.0,68628.0,1399.28,537.144102681379,1115,Rural
San Joaquin,2021,771406.0,74962.0,1399.28,551.2878051569379,1340,Rural
San Joaquin,2022,779445.0,82837.0,1399.28,557.0329026356412,1710,Rural
San Luis Obispo,2020,282517.0,77948.0,3304.32,85.49928578345923,865,Rural
San Luis Obispo,2021,282771.0,82514.0,3304.32,85.57615485183032,1050,Rural
San Luis Obispo,2022,281712.0,90158.0,3304.32,85.25566531086577,1305,Rural
San Mateo,2020,765623.0,128091.0,449.07,1704.907920814127,2755,Urban
San Mateo,2021,762488.0,136837.0,449.07,1697.9268265526532,2815,Urban
San Mateo,2022,754250.0,149907.0,449.07,1679.5822477564745,3330,Urban
Santa Barbara,2020,444895.0,78925.0,2737.01,162.54781677816302,1085,Rural
Santa Barbara,2021,447651.0,84356.0,2737.01,163.55475500637556,1235,Rural
Santa Barbara,2022,445213.0,92332.0,2737.01,162.6640019583414,1490,Rural
Santa Clara,2020,1924379.0,130890.0,1290.69,1490.9691715284073,6140,Urban
Santa Clara,2021,1932022.0,140258.0,1290.69,1496.890810341755,6405,Urban
Santa Clara,2022,1916831.0,153792.0,1290.69,1485.1211367563085,7445,Urban
Santa Cruz,2020,273170.0,89986.0,445.24,613.5342736501661,900,Rural
Santa Cruz,2021,272138.0,96093.0,445.24,611.2164226035396,1035,Rural
Santa Cruz,2022,268571.0,104409.0,445.24,603.2050130266822,1235,Rural
Shasta,2020,179267.0,57139.0,3785.19,47.360106097712396,380,Rural
Shasta,2021,181935.0,61937.0,3785.19,48.06495843009201,465,Rural
Shasta,2022,181852.0,68347.0,3785.19,48.04303086502923,670,Rural
Siskiyou,2020,43516.0,47403.0,6288.78,6.919625110116748,100,Rural
Siskiyou,2021,44151.0,49857.0,6288.78,7.020598589869578,135,Rural
Siskiyou,2022,44049.0,53898.0,6288.78,7.004379227767548,220,Rural
Solano,2020,444538.0,84638.0,829.19,536.1111446110059,720,Rural
Solano,2021,451432.0,89648.0,829.19,544.4252825046129,810,Rural
Solano,2022,450995.0,97037.0,829.19,543.8982621594567,1035,Rural
Sonoma,2020,496801.0,86173.0,1575.88,315.2530649541843,1635,Rural
Sonoma,2021,492498.0,91607.0,1575.88,312.5225270959717,1785,Rural
Sonoma,2022,488436.0,99266.0,1575.88,309.9449196639338,2245,Rural
Stanislaus,2020,546235.0,62873.0,1493.79,365.6705427135006,855,Rural
Stanislaus,2021,550842.0,68368.0,1493.79,368.7546442271002,1010,Rural
Stanislaus,2022,552063.0,74872.0,1493.79,369.5720281967345,1340,Rural
Sutter,2020,96315.0,63502.0,602.54,159.84830882597007,145,Rural
Sutter,2021,99080.0,67003.0,602.54,164.4372157865038,185,Rural
Sutter,2022,99101.0,72654.0,602.54,164.4720682444319,265,Rural
Tehama,2020,64176.0,48895.0,2950.99,21.747278032118036,100,Rural
Tehama,2021,65345.0,52901.0,2950.99,22.143416277249333,125,Rural
Tehama,2022,65484.0,59029.0,2950.99,22.19051911392448,165,Rural
Trinity,2020,12541.0,41780.0,3178.61,3.945435268875389,40,Rural
Trinity,2021,15818.0,42206.0,3178.61,4.976389050559836,70,Rural
Trinity,2022,15889.0,47317.0,3178.61,4.998725858158125,100,Rural
Tulare,2020,463955.0,52534.0,4823.97,96.17700773429354,575,Rural
Tulare,2021,470999.0,57394.0,4823.97,97.63721582016471,665,Rural
Tulare,2022,473446.0,64474.0,4823.97,98.14447436447573,835,Rural
Tuolumne,2020,54147.0,60509.0,2355.41,22.988354469073325,175,Rural
Tuolumne,2021,55243.0,66846.0,2355.41,23.45366624069695,235,Rural
Tuolumne,2022,54993.0,70432.0,2355.41,23.347527606658716,350,Rural
Ventura,2020,845599.0,89295.0,1845.3,458.24472985422426,1480,Rural
Ventura,2021,845255.0,94150.0,1845.3,458.05831030184794,1670,Rural
Ventura,2022,842009.0,102141.0,1845.3,456.29924673494827,2160,Rural
Yolo,2020,218774.0,73746.0,1013.27,215.90888904240725,520,Rural
Yolo,2021,216703.0,78386.0,1013.27,213.86501130004837,615,Rural
Yolo,2022,217141.0,85097.0,1013.27,214.2972751586448,765,Rural
Yuba,2020,77524.0,59424.0,630.69,122.91934230763131,150,Rural
Yuba,2021,80404.0,62666.0,630.69,127.48576955398055,160,Rural
Yuba,2022,81705.0,66693.0,630.69,129.54858963991816,250,Rural
