County,Year,Population,Household Income,Area (sq mi),Density
Kern,2022,906883.0,63883.0,8140.96,111.39755016607378
Kern,2023,912841.0,66734.0,8140.96,112.12940488591026
Kings,2018,150075.0,53865.0,1390.99,107.89078282374425
Kings,2019,150691.0,57848.0,1390.99,108.33363288017887
Kings,2020,151090.0,61556.0,1390.99,108.62047893946038
Kings,2021,151887.0,63267.0,1390.99,109.19345214559415
Kings,2022,152515.0,68540.0,1390.99,109.6449291511801
Kings,2023,153125.0,72209.0,1390.99,110.08346573303906
Lake,2018,64148.0,42475.0,1257.96,50.993672294826546
Lake,2019,64195.0,47040.0,1257.96,51.03103437311202
Lake,2020,64276.0,49254.0,1257.96,51.09542433781678
Lake,2021,67749.0,53399.0,1257.96,53.85624344176285
Lake,2022,68024.0,56259.0,1257.96,54.07485134662469
Lake,2023,68993.0,59705.0,1257.96,54.84514610957423
Lassen,2018,31185.0,56362.0,4557.27,6.8429125331613
Lassen,2019,30818.0,56352.0,4557.27,6.762381864581207
Lassen,2020,30600.0,56971.0,4557.27,6.714546208585403
Lassen,2021,32949.0,59292.0,4557.27,7.229986373420929
Lassen,2022,31873.0,59515.0,4557.27,6.993880108047142
Lassen,2023,32045.0,60303.0,4557.27,7.031622001768602
Los Angeles,2018,10098052.0,64251.0,4060.87,2486.6720678081297
Los Angeles,2019,10081570.0,68044.0,4060.87,2482.6133316259816
Los Angeles,2020,10040682.0,71358.0,4060.87,2472.5445532607546
Los Angeles,2021,10019635.0,76367.0,4060.87,2467.3616737300135
Los Angeles,2022,9936690.0,83411.0,4060.87,2446.936247651365
Los Angeles,2023,9896350.0,88201.0,4060.87,2437.0024157384996
Madera,2018,155013.0,52884.0,2135.86,72.57638609272144
Madera,2019,155433.0,57585.0,2135.86,72.77302819473186
Madera,2020,155925.0,61924.0,2135.86,73.00338037137266
Madera,2021,156304.0,66709.0,2135.86,73.18082645866302
Madera,2022,157243.0,73543.0,2135.86,73.62046201530062
Madera,2023,157801.0,78708.0,2135.86,73.88171509368591
Marin,2018,260295.0,110217.0,519.8,500.75990765679114
Marin,2019,259943.0,115246.0,519.8,500.0827241246634
Marin,2020,259441.0,121671.0,519.8,499.1169680646403
Marin,2021,262387.0,131008.0,519.8,504.7845325125049
Marin,2022,260485.0,142019.0,519.8,501.1254328587919
Marin,2023,260533.0,149969.0,519.8,501.2177760677184
Mariposa,2018,17540.0,51199.0,1451.12,12.087215392248746
Mariposa,2019,17420.0,48820.0,1451.12,12.004520646121618
Mariposa,2020,17319.0,50960.0,1451.12,11.93491923479795
Mariposa,2021,17225.0,53304.0,1451.12,11.870141683665032
Mariposa,2022,17130.0,60021.0,1451.12,11.80467500964772
Mariposa,2023,17028.0,62227.0,1451.12,11.734384475439661
Mendocino,2018,87422.0,49233.0,3508.97,24.91386361239908
Mendocino,2019,87224.0,51416.0,3508.97,24.85743679769277
Mendocino,2020,87110.0,52915.0,3508.97,24.824948631649743
Mendocino,2021,91534.0,56378.0,3508.97,26.085717461249313
Mendocino,2022,91145.0,61335.0,3508.97,25.974858719225303
Mendocino,2023,92076.0,64361.0,3508.97,26.24017874191002
Merced,2018,269075.0,50129.0,1928.69,139.51179297865392
Merced,2019,271382.0,53672.0,1928.69,140.70794165988312
Merced,2020,273661.0,56330.0,1928.69,141.88957271515898
Merced,2021,279150.0,58861.0,1928.69,144.73554588866017
Merced,2022,282290.0,64772.0,1928.69,146.36359394200207
Merced,2023,285594.0,68433.0,1928.69,148.07667380449942
Modoc,2018,8938.0,45149.0,3944.1,2.266169721863036
Modoc,2019,8907.0,45507.0,3944.1,2.258309880581121
Modoc,2020,8853.0,51250.0,3944.1,2.24461854415456
Modoc,2021,8723.0,51090.0,3944.1,2.2116579194239496
Modoc,2022,8651.0,54962.0,3944.1,2.1934028041885347
Modoc,2023,8579.0,57415.0,3944.1,2.17514768895312
Mono,2018,14174.0,63018.0,3044.4,4.655761397976613
Mono,2019,14310.0,62260.0,3044.4,4.700433582972014
Mono,2020,14395.0,64924.0,3044.4,4.72835369859414
Mono,2021,13291.0,71138.0,3044.4,4.365720667454999
Mono,2022,13219.0,82038.0,3044.4,4.342070687163316
Mono,2023,12980.0,86793.0,3044.4,4.263565891472868
Monterey,2018,433212.0,66676.0,3321.95,130.40894655247672
Monterey,2019,433410.0,71015.0,3321.95,130.4685500985867
Monterey,2020,432977.0,76943.0,3321.95,130.33820496997245
Monterey,2021,438953.0,82013.0,3321.95,132.13714836165505
Monterey,2022,437609.0,91043.0,3321.95,131.73256671533287
Monterey,2023,438708.0,97135.0,3321.95,132.06339649904425
Napa,2018,140530.0,84753.0,753.73,186.44607485439082
Napa,2019,139623.0,88596.0,753.73,185.24272617515555
Napa,2020,138572.0,92219.0,753.73,183.84832765048492
Napa,2021,138795.0,97498.0,753.73,184.1441895639022
Napa,2022,137384.0,105809.0,753.73,182.27216642564312
Napa,2023,136598.0,111073.0,753.73,181.22935268597507
Nevada,2018,99092.0,63240.0,957.61,103.47845156170048
Nevada,2019,99244.0,66096.0,957.61,103.63718006286484
Nevada,2020,99417.0,68333.0,957.61,103.8178381595848
Nevada,2021,102090.0,74617.0,957.61,106.60916239387642
Nevada,2022,102322.0,79395.0,957.61,106.85143221144307
Nevada,2023,103130.0,83434.0,957.61,107.69519950710624
Orange,2018,3164182.0,85398.0,789.4,4008.3379782112997
Orange,2019,3168044.0,90234.0,789.4,4013.230301494806
Orange,2020,3170345.0,94441.0,789.4,4016.1451735495316
Orange,2021,3182923.0,100485.0,789.4,4032.0787940207756
Orange,2022,3175227.0,109361.0,789.4,4022.3296174309603
Orange,2023,3177988.0,115352.0,789.4,4025.8272105396504
Placer,2018,380077.0,84357.0,1404.37,270.63879177139927
Placer,2019,385512.0,89691.0,1404.37,274.5088545041549
Placer,2020,391799.0,93677.0,1404.37,278.98559496429004
Placer,2021,400330.0,99734.0,1404.37,285.0602049317488
Placer,2022,406608.0,109375.0,1404.37,289.5305368243412
Placer,2023,413241.0,115629.0,1404.37,294.2536511033417
Plumas,2018,18699.0,53270.0,2553.69,7.322345312077816
Plumas,2019,18660.0,55359.0,2553.69,7.307073293939358
Plumas,2020,18844.0,57233.0,2553.69,7.379125892336188
Plumas,2021,19631.0,57885.0,2553.69,7.687307386566106
Plumas,2022,19650.0,67885.0,2553.69,7.694747600530996
Plumas,2023,19888.0,71539.0,2553.69,7.787946070196461
Riverside,2018,2383286.0,63948.0,7207.37,330.67346341314516
Riverside,2019,2411439.0,67005.0,7207.37,334.57960393319615
Riverside,2020,2437864.0,70732.0,7207.37,338.2459898687039
Riverside,2021,2409331.0,76066.0,7207.37,334.2871255395519
Riverside,2022,2429487.0,84505.0,7207.37,337.0837073717598
Riverside,2023,2441037.0,89644.0,7207.37,338.6862336746969
Sacramento,2018,1510023.0,63902.0,965.65,1563.7373789675348
Sacramento,2019,1524553.0,67151.0,965.65,1578.7842385957645
Sacramento,2020,1537948.0,70684.0,965.65,1592.6557241236474
Sacramento,2021,1571767.0,76422.0,965.65,1627.677730026407
Sacramento,2022,1579211.0,84010.0,965.65,1635.3865272096516
Sacramento,2023,1596508.0,89037.0,965.65,1653.2988142701809
San Benito,2018,59416.0,81977.0,1389.06,42.774250212373836
San Benito,2019,60376.0,86958.0,1389.06,43.46536506702375
San Benito,2020,61547.0,85808.0,1389.06,44.30838120743525
San Benito,2021,63329.0,95606.0,1389.06,45.591263156379135
San Benito,2022,64753.0,104451.0,1389.06,46.61641685744316
San Benito,2023,66087.0,110069.0,1389.06,47.576778540883765
San Bernardino,2018,2135413.0,60164.0,20052.5,106.49111083406059
San Bernardino,2019,2149031.0,63362.0,20052.5,107.17022815110336
San Bernardino,2020,2162532.0,65761.0,20052.5,107.8435107841915
San Bernardino,2021,2171071.0,70287.0,20052.5,108.26934297469144
San Bernardino,2022,2180563.0,77423.0,20052.5,108.74270041142002
San Bernardino,2023,2191851.0,81738.0,20052.5,109.30562274030669
San Diego,2018,3302833.0,74855.0,4199.89,786.4094059606323
San Diego,2019,3316073.0,78980.0,4199.89,789.5618694775338
San Diego,2020,3323970.0,82426.0,4199.89,791.4421568183928
San Diego,2021,3296317.0,88240.0,4199.89,784.8579367554864
San Diego,2022,3289701.0,96974.0,4199.89,783.2826574029319
San Diego,2023,3286418.0,102504.0,4199.89,782.5009702635068
San Francisco,2018,870044.0,104552.0,46.69,18634.482758620692
San Francisco,2019,874961.0,112449.0,46.69,18739.794388520026
San Francisco,2020,874784.0,119136.0,46.69,18736.003426858002
San Francisco,2021,865933.0,126187.0,46.69,18546.4339258942
San Francisco,2022,851036.0,136689.0,46.69,18227.37202827158
San Francisco,2023,846284.0,144723.0,46.69,18125.5943456843
San Joaquin,2018,732212.0,61145.0,1399.28,523.2776856669144
San Joaquin,2019,742603.0,64432.0,1399.28,530.7036475901892
San Joaquin,2020,751615.0,68628.0,1399.28,537.144102681379
San Joaquin,2021,771406.0,74962.0,1399.28,551.2878051569379
San Joaquin,2022,779445.0,82837.0,1399.28,557.0329026356412
San Joaquin,2023,791253.0,88260.0,1399.28,565.4715282145104
San Luis Obispo,2018,281455.0,70699.0,3304.32,85.17788834011233
San Luis Obispo,2019,282165.0,73518.0,3304.32,85.39275857059849
San Luis Obispo,2020,282517.0,77948.0,3304.32,85.49928578345923
San Luis Obispo,2021,282771.0,82514.0,3304.32,85.57615485183032
San Luis Obispo,2022,281712.0,90158.0,3304.32,85.25566531086577
