County,Year,Population,Household Income
San Bernardino,2022,2180563.0,77423.0
San Bernardino,2021,2171071.0,70287.0
San Bernardino,2020,2162532.0,65761.0
San Bernardino,2019,2149031.0,63362.0
San Bernardino,2018,2135413.0,60164.0
San Diego,2022,3289701.0,96974.0
San Diego,2021,3296317.0,88240.0
San Diego,2020,3323970.0,82426.0
San Diego,2019,3316073.0,78980.0
San Diego,2018,3302833.0,74855.0
San Francisco,2022,851036.0,136689.0
San Francisco,2021,865933.0,126187.0
San Francisco,2020,874784.0,119136.0
San Francisco,2019,874961.0,112449.0
San Francisco,2018,870044.0,104552.0
San Joaquin,2022,779445.0,82837.0
San Joaquin,2021,771406.0,74962.0
San Joaquin,2020,751615.0,68628.0
San Joaquin,2019,742603.0,64432.0
San Joaquin,2018,732212.0,61145.0
San Luis Obispo,2022,281712.0,90158.0
San Luis Obispo,2021,282771.0,82514.0
San Luis Obispo,2020,282517.0,77948.0
San Luis Obispo,2019,282165.0,73518.0
San Luis Obispo,2018,281455.0,70699.0
San Mateo,2022,754250.0,149907.0
San Mateo,2021,762488.0,136837.0
San Mateo,2020,765623.0,128091.0
San Mateo,2019,767423.0,122641.0
San Mateo,2018,765935.0,113776.0
Santa Barbara,2022,445213.0,92332.0
Santa Barbara,2021,447651.0,84356.0
Santa Barbara,2020,444895.0,78925.0
Santa Barbara,2019,444829.0,74624.0
Santa Barbara,2018,443738.0,71657.0
Santa Clara,2022,1916831.0,153792.0
Santa Clara,2021,1932022.0,140258.0
Santa Clara,2020,1924379.0,130890.0
Santa Clara,2019,1927470.0,124055.0
Santa Clara,2018,1922200.0,116178.0
Santa Cruz,2022,268571.0,104409.0
Santa Cruz,2021,272138.0,96093.0
Santa Cruz,2020,273170.0,89986.0
Santa Cruz,2019,273962.0,82234.0
Santa Cruz,2018,273765.0,78041.0
Shasta,2022,181852.0,68347.0
Shasta,2021,181935.0,61937.0
Shasta,2020,179267.0,57139.0
Shasta,2019,179212.0,54667.0
Shasta,2018,179085.0,50905.0
Sierra,2022,2916.0,61108.0
Sierra,2021,3079.0,56152.0
Sierra,2020,2898.0,52103.0
Sierra,2019,3040.0,52148.0
Sierra,2018,2930.0,48125.0
Siskiyou,2022,44049.0,53898.0
Siskiyou,2021,44151.0,49857.0
Siskiyou,2020,43516.0,47403.0
Siskiyou,2019,43468.0,45241.0
Siskiyou,2018,43540.0,44200.0
Solano,2022,450995.0,97037.0
Solano,2021,451432.0,89648.0
Solano,2020,444538.0,84638.0
Solano,2019,441829.0,81472.0
Solano,2018,438530.0,77609.0
Sonoma,2022,488436.0,99266.0
Sonoma,2021,492498.0,91607.0
Sonoma,2020,496801.0,86173.0
Sonoma,2019,499772.0,81018.0
Sonoma,2018,501317.0,76753.0
Stanislaus,2022,552063.0,74872.0
Stanislaus,2021,550842.0,68368.0
Stanislaus,2020,546235.0,62873.0
Stanislaus,2019,543194.0,60704.0
Stanislaus,2018,539301.0,57387.0
Sutter,2022,99101.0,72654.0
Sutter,2021,99080.0,67003.0
Sutter,2020,96315.0,63502.0
Sutter,2019,96109.0,59050.0
Sutter,2018,95872.0,56955.0
Tehama,2022,65484.0,59029.0
Tehama,2021,65345.0,52901.0
Tehama,2020,64176.0,48895.0
Tehama,2019,63912.0,44514.0
Tehama,2018,63373.0,42899.0
Trinity,2022,15889.0,47317.0
Trinity,2021,15818.0,42206.0
Trinity,2020,12541.0,41780.0
Trinity,2019,12700.0,40846.0
Trinity,2018,12862.0,38497.0
Tulare,2022,473446.0,64474.0
Tulare,2021,470999.0,57394.0
Tulare,2020,463955.0,52534.0
Tulare,2019,461898.0,49687.0
Tulare,2018,460477.0,47518.0
Tuolumne,2022,54993.0,70432.0
Tuolumne,2021,55243.0,66846.0
Tuolumne,2020,54147.0,60509.0
Tuolumne,2019,54045.0,60108.0
Tuolumne,2018,53932.0,56493.0
Ventura,2022,842009.0,102141.0
Ventura,2021,845255.0,94150.0
Ventura,2020,845599.0,89295.0
Ventura,2019,847263.0,88131.0
Ventura,2018,848112.0,84017.0
Yolo,2022,217141.0,85097.0
Yolo,2021,216703.0,78386.0
Yolo,2020,218774.0,73746.0
Yolo,2019,217352.0,70228.0
Yolo,2018,214977.0,65923.0
Yuba,2022,81705.0,66693.0
Yuba,2021,80404.0,62666.0
Yuba,2020,77524.0,59424.0
Yuba,2019,76360.0,58054.0
Yuba,2018,75493.0,52624.0
